ID,Parent Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price,Category,Derived Products,Acquisition Date
510,Google,2011,3,Zynamics,Security,-,,-,Project Zero,2011-03-01
511,Google,2011,3,BeatThatQuote.com,Price comparison service,-,65000000.0,-,Google Shopping,2011-03-01
512,Google,2011,3,Next New Networks,Online video,-,,-,YouTube,2011-03-01
513,Google,2011,3,Green Parrot Pictures,Digital video,-,,-,YouTube,2011-03-01
514,Google,2011,4,PushLife,Service provider,-,25000000.0,-,Google Play,2011-04-01
515,Google,2011,4,ITA Software,Travel technology,-,676000000.0,-,Google Flights,2011-04-01
516,Google,2011,4,TalkBin,Mobile software,-,,-,Android,2011-04-01
517,Google,2011,5,Sparkbuy,Product search,-,,-,Google Shopping,2011-05-01
518,Google,2011,6,PostRank,Social media analytics service,-,,-,Google+ Google Analytics,2011-06-01
519,Google,2011,6,Admeld,Online advertising,-,400000000.0,-,"DoubleClick, Invite Media",2011-06-01
520,Google,2011,6,SageTV,Media center,-,,-,"Google TV, Google Fiber, Android TV",2011-06-01
521,Google,2011,7,Punchd,Loyalty program,-,,-,Google Offers,2011-07-01
522,Google,2011,7,Fridge,Social groups,-,,-,Google+,2011-07-01
523,Google,2011,7,PittPatt,Facial recognition system,-,,-,Android,2011-07-01
524,Google,2011,8,Dealmap,One deal a day service,-,,-,Google Offers,2011-08-01
525,Google,2011,8,Motorola Mobility,Mobile device manufacturer,-,,-,"Android, Google TV, Android TV, Patent portfolio",2011-08-01
526,Google,2011,9,Zave Networks,Digital coupons,-,,-,Google Offers,2011-09-01
527,Google,2011,9,Zagat,Restaurant reviews,-,151000000.0,-,"Google Places, Google Maps",2011-09-01
528,Google,2011,9,DailyDeal,One deal a day service,-,114000000.0,-,Google Offers,2011-09-01
529,Google,2011,10,SocialGrapple,Social media analytics service,-,,-,Google+ Google Analytics,2011-10-01
530,Google,2011,11,Apture,Instantaneous search,-,,-,Google Search,2011-11-01
531,Google,2011,11,Katango,Social circle organization,-,,-,Google+,2011-11-01
532,Google,2011,12,RightsFlow,Music rights management,-,,-,YouTube,2011-12-01
533,Google,2011,12,Clever Sense,Local recommendations app,-,,-,Google Maps,2011-12-01
534,Google,2012,3,Milk,Software company,-,,-,Google+,2012-03-01
535,Google,2012,4,TxVia,Online payments,-,,-,"Google Wallet, Google Checkout",2012-04-01
536,Google,2012,6,Meebo,Social networking,-,100000000.0,-,Google+,2012-06-01
537,Google,2012,6,Quickoffice,Mobile office suite,-,,-,Google Docs,2012-06-01
538,Google,2012,7,Sparrow,Mobile apps,-,25000000.0,-,Gmail,2012-07-01
539,Google,2012,1,WIMM Labs,Android-powered smartwatches,-,,-,Android Wear,2012-01-01
540,Google,2012,8,Wildfire Interactive,Social media marketing,-,450000000.0,-,"Google, Google+",2012-08-01
541,Google,2012,9,VirusTotal.com,Security,-,,-,Chronicle,2012-09-01
542,Google,2012,9,Nik Software,Photography,-,,-,"Google, Android",2012-09-01
543,Google,2012,10,Viewdle,Facial recognition,-,45000000.0,-,Android,2012-10-01
544,Google,2012,11,Incentive Targeting,Digital coupons,-,,-,Google Offers,2012-11-01
545,Google,2012,11,BufferBox,Package delivery,-,17000000.0,-,"Google Shopping, Android",2012-11-01
546,Google,2013,2,Channel Intelligence,Product ecommerce,-,125000000.0,-,Google Shopping,2013-02-01
547,Google,2013,3,DNNresearch,Deep Neural Networks,-,44000000.0,-,"Google, X",2013-03-01
548,Google,2013,3,Talaria Technologies,Cloud computing,-,,-,Google Cloud,2013-03-01
549,Google,2013,4,Behavio,Social Prediction,-,,-,Google Now,2013-04-01
550,Google,2013,4,Wavii,Natural Language Processing,-,30000000.0,-,Google Knowledge Graph,2013-04-01
551,Google,2013,5,Makani Power,Airborne wind turbines,-,,-,X,2013-05-01
552,Google,2013,6,Waze,GPS navigation software,-,966000000.0,-,"Google Maps, Waze",2013-06-01
553,Google,2013,9,Bump,Mobile software,-,,-,Google Photos,2013-09-01
554,Google,2013,10,Flutter,Gesture recognition technology,-,40000000.0,-,"Google, Android, X",2013-10-01
555,Google,2013,10,FlexyCore,DroidBooster App for Android,-,23000000.0,-,Android,2013-10-01
556,Google,2013,12,Schaft,"Robotics, humanoid robots",-,,-,X,2013-12-01
557,Google,2013,12,Industrial Perception,"Robotic arms, computer vision",-,,-,X,2013-12-01
558,Google,2013,12,Redwood Robotics,Robotic arms,-,,-,X,2013-12-01
559,Google,2013,12,Meka Robotics,Robots,-,,-,X,2013-12-01
560,Google,2013,12,Holomni,Robotic wheels,-,,-,X,2013-12-01
561,Google,2013,12,Bot & Dolly,Robotic cameras,-,,-,X,2013-12-01
562,Google,2013,12,Autofuss,Ads and Design,-,,-,X,2013-12-01
563,Google,2014,1,Bitspin,Timely App for Android,-,,-,Android,2014-01-01
564,Google,2014,1,Nest Labs,Home automation,-,,-,Nest Labs,2014-01-01
565,Google,2014,1,Impermium,Internet security,-,,-,Project Zero,2014-01-01
566,Google,2014,1,DeepMind Technologies,Artificial intelligence,-,625000000.0,-,Google DeepMind,2014-01-01
567,Google,2014,2,SlickLogin,Internet Security,-,,-,Project Zero,2014-02-01
568,Google,2014,2,spider.io,Anti-click fraud,-,,-,"DoubleClick, AdSense",2014-02-01
569,Google,2014,3,GreenThrottle,Gadgets,-,,-,Android,2014-03-01
570,Google,2014,4,Titan Aerospace,High-altitude UAVs,-,,-,Project Loon,2014-04-01
571,Google,2014,5,Rangespan,E-commerce,-,,-,Google Shopping,2014-05-01
572,Google,2014,5,Adometry,Online advertising attribution,-,,-,Google Analytics AdSense,2014-05-01
573,Google,2014,5,Appetas,Restaurant website creation,-,,-,Google My Business,2014-05-01
574,Google,2014,5,Stackdriver,Cloud computing,-,,-,Google Cloud Platform,2014-05-01
575,Google,2014,5,MyEnergy,Online energy usage monitoring,-,,-,Nest Labs,2014-05-01
576,Google,2014,5,Quest Visual,Augmented reality,-,,-,Google Translate,2014-05-01
577,Google,2014,5,Divide,Mobile device management,-,,-,Android for Work,2014-05-01
578,Google,2014,6,Skybox Imaging,Satellite,-,500000000.0,-,"Google Maps, Project Loon",2014-06-01
579,Google,2014,6,mDialog,Online advertising,-,,-,DoubleClick,2014-06-01
580,Google,2014,6,Alpental Technologies,Wireless,-,,-,Google,2014-06-01
581,Google,2014,6,Dropcam,Home monitoring,-,555000000.0,-,Nest Labs,2014-06-01
582,Google,2014,6,Appurify,Automated application testing,-,,-,Android,2014-06-01
583,Google,2014,7,Songza,Music streaming,-,,-,"Google Play, Android TV",2014-07-01
584,Google,2014,7,drawElements,Graphics compatibility testing,-,,-,Android,2014-07-01
585,Google,2014,8,Emu,IM client,-,,-,"Google Hangouts, Google Now",2014-08-01
586,Google,2014,8,Director,Mobile video,-,,-,"YouTube, Android",2014-08-01
587,Google,2014,8,Jetpac,"Artificial intelligence, image recognition",-,,-,Picasa,2014-08-01
588,Google,2014,8,Gecko Design,Mechanical design,-,,-,X,2014-08-01
589,Google,2014,8,Zync Render,Cloud-based visual effects software,-,,-,Google Cloud Platform,2014-08-01
590,Google,2014,9,Lift Labs,Liftware,-,,-,Verily,2014-09-01
591,Google,2014,9,Polar,Social polling,-,,-,Google+,2014-09-01
592,Google,2014,10,Firebase,Application development platform,-,,-,Google Cloud Platform,2014-10-01
593,Google,2014,10,Dark Blue Labs & Vision Factory,Artificial intelligence,-,10000000.0,-,Google DeepMind,2014-10-01
594,Google,2014,10,Revolv,Home automation,-,,-,Nest Labs,2014-10-01
595,Google,2014,11,RelativeWave,Mobile software prototyping,-,,-,Android,2014-11-01
596,Google,2014,12,Vidmaker,Video editing,-,,-,YouTube,2014-12-01
597,Google,2015,2,Launchpad Toys,Child-friendly apps,-,,-,YouTube for Kids,2015-02-01
598,Google,2015,2,Odysee,Multimedia sharing and storage,-,,-,Google+,2015-02-01
599,Google,2015,2,Softcard,Mobile payments,-,,-,Android Pay,2015-02-01
600,Google,2015,2,Red Hot Labs,App advertising and discovery,-,,-,Google Play,2015-02-01
601,Google,2015,4,Thrive Audio,Surround sound technology,-,,-,Google Cardboard,2015-04-01
602,Google,2015,4,Skillman & Hackett,Virtual reality software,-,,-,Tilt Brush,2015-04-01
603,Google,2015,5,Timeful,Mobile software,-,,-,"Google Inbox, Google Calendar",2015-05-01
604,Google,2015,5,Pulse.io,Mobile app optimizer,-,,-,Android,2015-05-01
605,Google,2015,7,Pixate,Mobile software prototyping,-,,-,Android,2015-07-01
606,Google,2015,9,Oyster,E-book subscriptions,-,,-,Google Play Books,2015-09-01
607,Google,2015,9,Jibe Mobile,Rich Communication Services,-,,-,Messages,2015-09-01
608,Google,2015,6,Agawi,Mobile application streaming,-,,-,"Android, Google Play",2015-06-01
609,Google,2015,10,Digisfera,360-degree photography,-,,-,Street View,2015-10-01
610,Google,2015,11,Fly Labs,Video editing,-,,-,Google Photos,2015-11-01
611,Google,2015,11,bebop,Cloud software,-,380000000.0,-,Google Cloud Platform,2015-11-01
612,Google,2016,2,BandPage,Platform for musicians,-,,-,YouTube,2016-02-01
613,Google,2016,2,Pie,Enterprise communications,-,,-,Spaces,2016-02-01
614,Google,2016,5,Synergyse,Interactive learning platform,-,,-,Google Docs,2016-05-01
615,Google,2016,6,Webpass,Internet service provider,-,,-,Google Fiber,2016-06-01
616,Google,2016,7,Moodstocks,Image recognition,-,,-,Google Photos,2016-07-01
617,Google,2016,7,Anvato,Cloud-based video services,-,,-,Google Cloud Platform,2016-07-01
618,Google,2016,7,Kifi,Link management,-,,-,Spaces,2016-07-01
619,Google,2016,7,LaunchKit,Mobile developer tools,-,,-,Firebase,2016-07-01
620,Google,2016,8,Orbitera,Cloud software,-,100000000.0,-,Google Cloud Platform,2016-08-01
621,Google,2016,9,Apigee,API management and predictive analytics,-,625000000.0,-,Google Cloud Platform,2016-09-01
622,Google,2016,9,Urban Engines,Location-based analytics,-,,-,Google Maps,2016-09-01
623,Google,2016,9,API.AI,Natural language processing,-,,-,Google Assistant,2016-09-01
624,Google,2016,10,FameBit,Branded content,-,,-,YouTube,2016-10-01
625,Google,2016,10,Eyefluence,"Eye tracking, virtual reality",-,,-,-,2016-10-01
626,Google,2016,11,LeapDroid,Android Emulator,-,,-,Android,2016-11-01
627,Google,2016,11,Qwiklabs,Cloud-based hands-on training platform,-,,-,Google Cloud Platform,2016-11-01
628,Google,2016,12,Cronologics,Smartwatches,-,,-,Android Wear,2016-12-01
629,Google,2017,1,Limes Audio,Voice communication,-,,-,"Google Duo, Google Hangouts",2017-01-01
630,Google,2017,1,Fabric,Mobile app platform,-,,-,Firebase,2017-01-01
631,Google,2017,3,Kaggle,Data science,-,,-,Google Cloud Platform,2017-03-01
632,Google,2017,3,AppBridge,Productivity suite,-,,-,Google Docs,2017-03-01
633,Google,2017,5,Owlchemy Labs,Virtual reality studio,-,,-,-,2017-05-01
634,Google,2017,7,Halli Labs,Artificial intelligence,-,,-,-,2017-07-01
635,Google,2017,8,AIMatter,Computer vision,-,,-,YouTube,2017-08-01
636,Google,2017,9,HTC (portions),Talent and intellectual property licenses,-,,-,Google Pixel,2017-09-01
637,Google,2017,9,Bitium,Single sign-on and identity management,-,,-,Google Cloud Platform,2017-09-01
638,Google,2017,10,Relay Media,AMP converter,-,,-,Accelerated Mobile Pages,2017-10-01
639,Google,2017,10,60db,Podcasts,-,,-,"Google Play Music, Google Podcasts",2017-10-01
640,Google,2018,1,Redux,Audio,-,,-,-,2018-01-01
641,Google,2018,3,Tenor,GIF image search,-,,-,"Google Images, Gboard",2018-03-01
642,Google,2018,5,Velostrata,Cloud migration,-,,-,Google Cloud Platform,2018-05-01
643,Google,2018,5,Cask,"Big data, Hadoop",-,,-,Google Cloud Platform,2018-05-01
644,Google,2018,8,GraphicsFuzz,GPU reliability,-,,-,Android,2018-08-01
645,Google,2018,9,Senosis,Health monitoring,-,,-,Nest Labs,2018-09-01
646,Google,2018,10,Onward,"Machine learning, natural language processing",-,,-,-,2018-10-01
647,Google,2018,11,Workbench Education,Education technology,-,,-,Google Classroom,2018-11-01
648,Google,2018,12,Sigmoid Labs,Indian Railways Train Tracking,-,40000000.0,-,Google Maps,2018-12-01
649,Google,2018,12,DevOps Research and Assessment,Research and Assessment,-,,-,Google Cloud Platform,2018-12-01
650,Google,2019,1,Superpod,Question and answer app,-,60000000.0,-,Google Assistant,2019-01-01
651,Google,2019,2,Alooma,"Big data, cloud migration",-,,-,Google Cloud Platform,2019-02-01
652,Google,2019,3,Nightcorn,Video sharing,-,,-,YouTube,2019-03-01
653,Google,2019,6,Looker,"Big data, analytics",-,,-,Google Cloud Platform,2019-06-01
654,Google,2019,7,Elastifile,File storage,-,,-,Google Cloud Platform,2019-07-01
655,Google,2019,10,Socratic,Learning apps,-,,-,Google Classroom,2019-10-01
656,Google,2019,11,CloudSimple,Cloud hosting,-,,-,Google Cloud Platform,2019-11-01
657,Google,2019,12,Typhoon Studios,Video game development,-,,-,Stadia,2019-12-01
658,Google,2020,1,AppSheet,Mobile app development,-,,-,Google Cloud Platform,2020-01-01
659,Google,2020,1,Pointy,Local retail inventory feeds,-,163000000.0,-,Google Maps,2020-01-01
660,Google,2020,2,Cornerstone Technology B.V.,"Mainframe, cloud migration",-,,-,Google Cloud Platform,2020-02-01
661,Google,2020,6,North,Smart glasses,-,180000000.0,-,-,2020-06-01
662,Google,2020,8,Stratozone,Cloud Assessment,-,,-,Google Cloud Platform,2020-08-01
663,Google,2020,12,Dataform,"Big data, analytics",-,,-,Google Cloud Platform,2020-12-01
664,Google,2020,12,Neverware,Chrome OS distribution,-,,-,Chrome OS,2020-12-01
665,Google,2020,12,Actifio,"Backup, Disaster Recovery",-,,-,Google Cloud Platform,2020-12-01
666,Google,2021,1,Fitbit,Wearables,-,,-,Wear OS,2021-01-01
667,Google,2021,2,Provino,Cloud hardware,-,,-,Tensor processing unit,2021-02-01
668,Google,2021,4,Dysonics,Audio hardware,-,,-,Pixel Buds,2021-04-01
669,Google,2021,9,Playspace,Collaboration tool,-,,-,Google Workspace,2021-09-01
670,Microsoft,1987,7,"Forethought, Inc.",Computer software,-,14000000.0,-,-,1987-07-01
671,Microsoft,1991,3,Consumers Software,Software,-,,-,-,1991-03-01
672,Microsoft,1992,6,Fox Software,PC database software,-,,-,-,1992-06-01
673,Microsoft,1994,2,Softimage,Wholesale 3-D visualization software,-,130000000.0,-,-,1994-02-01
674,Microsoft,1994,9,Altamira Software,Software,-,,-,-,1994-09-01
675,Microsoft,1994,11,NextBase,Software,-,,-,-,1994-11-01
676,Microsoft,1994,11,One Tree Software,Software,-,,-,-,1994-11-01
677,Microsoft,1995,2,RenderMorphics,3D graphics hardware,-,,-,-,1995-02-01
678,Microsoft,1995,7,Network Managers,Systems design,-,,-,-,1995-07-01
679,Microsoft,1995,10,The Blue Ribbon SoundWorks,Software,-,,-,-,1995-10-01
680,Microsoft,1995,11,Netwise,Computer software,-,,-,-,1995-11-01
681,Microsoft,1995,12,Bruce Artwick Organization,Programming,-,,-,-,1995-12-01
682,Microsoft,1996,1,Vermeer Technologies,Software,-,133000000.0,-,-,1996-01-01
683,Microsoft,1996,3,VGA-Animation Software Div,Software,-,,-,-,1996-03-01
684,Microsoft,1996,3,Colusa Software,Software,-,,-,-,1996-03-01
685,Microsoft,1996,4,Exos,Video game controllers,-,,-,-,1996-04-01
686,Microsoft,1996,4,Aspect Software Engineering,Computer software,-,14150000.0,-,-,1996-04-01
687,Microsoft,1996,6,eShop Inc.,Software,-,50000000.0,-,-,1996-06-01
688,Microsoft,1996,6,Electric Gravity,Electronic games,-,,-,-,1996-06-01
689,Microsoft,1996,11,Panorama Software Sys-On-Line,Software,-,,-,-,1996-11-01
690,Microsoft,1997,2,NetCarta,Internet software,-,20000000.0,-,-,1997-02-01
691,Microsoft,1997,3,Interse,Internet software,-,,-,-,1997-03-01
692,Microsoft,1997,4,WebTV Networks,Internet service provider,-,425000000.0,-,-,1997-04-01
693,Microsoft,1997,5,Dimension X,Java-based platforms,-,,-,-,1997-05-01
694,Microsoft,1997,6,Cooper & Peters,Programming,-,,-,-,1997-06-01
695,Microsoft,1997,6,LinkAge Software,Internet software development,-,,-,-,1997-06-01
696,Microsoft,1997,8,VXtreme,Internet video software,-,,-,-,1997-08-01
697,Microsoft,1997,12,Hotmail,Internet software,-,500000000.0,-,-,1997-12-01
698,Microsoft,1998,2,Flash Communications,Enterprise instant messaging software,-,,-,-,1998-02-01
699,Microsoft,1998,4,Firefly,Relationship management software,-,40000000.0,-,-,1998-04-01
700,Microsoft,1998,4,MESA Group,Data sharing software,-,,-,-,1998-04-01
701,Microsoft,1998,8,Valence Research,Internet software,-,,-,-,1998-08-01
702,Microsoft,1998,11,LinkExchange,Internet advertising network,-,265000000.0,-,-,1998-11-01
703,Microsoft,1999,1,FASA Interactive,Video games,-,,-,-,1999-01-01
704,Microsoft,1999,3,CompareNet,Shopping online,-,,-,-,1999-03-01
705,Microsoft,1999,3,Numinous Technologies,Software,-,,-,-,1999-03-01
706,Microsoft,1999,4,Access Software,Video games,-,,-,-,1999-04-01
707,Microsoft,1999,4,Interactive Objects-Digital,Web music software,-,,-,-,1999-04-01
708,Microsoft,1999,4,Jump Networks,Internet service provider,-,,-,-,1999-04-01
709,Microsoft,1999,6,ShadowFactor Software,Wholesale computer software,-,,-,-,1999-06-01
710,Microsoft,1999,6,Omnibrowse,Internet software,-,,-,-,1999-06-01
711,Microsoft,1999,6,Intrinsa,Defect detection software,-,58900000.0,-,-,1999-06-01
712,Microsoft,1999,7,Sendit,Application software,-,125420000.0,-,-,1999-07-01
713,Microsoft,1999,7,Zoomit,Encryption software,-,,-,-,1999-07-01
714,Microsoft,1999,7,STNC,Community software,-,,-,-,1999-07-01
715,Microsoft,1999,9,Softway Systems,Computer programming,-,,-,-,1999-09-01
716,Microsoft,1999,10,Entropic,Software,-,,-,-,1999-10-01
717,Microsoft,2000,1,Visio Corporation,Wholesale drawing software,-,1375000000.0,-,-,2000-01-01
718,Microsoft,2000,2,Peach Networks,Digital TV services,-,,-,-,2000-02-01
719,Microsoft,2000,3,Travelscape,Internet service provider,-,89750000.0,-,-,2000-03-01
720,Microsoft,2000,4,Titus Communications,Cable television,-,944800000.0,-,-,2000-04-01
721,Microsoft,2000,6,Bungie,Video games,-,,-,-,2000-06-01
722,Microsoft,2000,7,NetGames,Software,-,,-,-,2000-07-01
723,Microsoft,2000,9,MongoMusic,Online music search engine,-,65000000.0,-,-,2000-09-01
724,Microsoft,2000,9,Pacific Microsonics,Digital audio technology,-,,-,-,2000-09-01
725,Microsoft,2000,12,Digital Anvil,Video games,-,,-,-,2000-12-01
726,Microsoft,2001,3,Vacationspot,Internet service provider,-,70850000.0,-,-,2001-03-01
727,Microsoft,2001,4,Great Plains Software,Business management software,-,939884000.0,-,-,2001-04-01
728,Microsoft,2001,5,Intellisol International,Software,-,,-,-,2001-05-01
729,Microsoft,2001,5,Ensemble Studios,Video games,-,,-,-,2001-05-01
730,Microsoft,2001,5,NCompass Labs,Internet software,-,36000000.0,-,-,2001-05-01
731,Microsoft,2001,6,Maximal Innovative Intelligence,Software,-,20000000.0,-,-,2001-06-01
732,Microsoft,2001,7,Yupi,Online Spanish portal,-,,-,-,2001-07-01
733,Microsoft,2002,3,Classic Custom Vacations,Travel agency,-,78000000.0,-,-,2002-03-01
734,Microsoft,2002,5,Sales Management Systems,Software,-,,-,-,2002-05-01
735,Microsoft,2002,7,Navision,Software programming,-,1330000000.0,-,-,2002-07-01
736,Microsoft,2002,7,Mobilocity,Computer consulting,-,,-,-,2002-07-01
737,Microsoft,2002,9,XDegrees,Security software,-,,-,-,2002-09-01
738,Microsoft,2002,9,Rare,Video games,-,375000000.0,-,-,2002-09-01
739,Microsoft,2002,12,Vicinity,Online enterprise location,-,95849000.0,-,-,2002-12-01
740,Microsoft,2003,2,Connectix,Software,-,,-,-,2003-02-01
741,Microsoft,2003,3,DCG,Internet software,-,,-,-,2003-03-01
742,Microsoft,2003,4,PlaceWare,Web conferencing,-,200000000.0,-,-,2003-04-01
743,Microsoft,2003,5,G.A. Sullivan,Information technology,-,,-,-,2003-05-01
744,Microsoft,2003,6,GeCAD Software,Antivirus technology,-,,-,-,2003-06-01
745,Microsoft,2003,8,3DO Co-High Heat Baseball,Software,-,450000.0,-,-,2003-08-01
746,Microsoft,2004,4,Encore Bus Solutions-IP Asts,IP assets,-,,-,-,2004-04-01
747,Microsoft,2004,4,ActiveViews,Reporting systems,-,,-,-,2004-04-01
748,Microsoft,2004,7,Lookout Software,Personal search tool,-,,-,-,2004-07-01
749,Microsoft,2004,12,GIANT Company Software,Anti-spyware,-,,-,-,2004-12-01
750,Microsoft,2005,3,en'tegrate,Software,-,,-,-,2005-03-01
751,Microsoft,2005,4,Groove Networks,Community software,-,,-,-,2005-04-01
752,Microsoft,2005,5,MessageCast,Messaging,-,7000000.0,-,-,2005-05-01
753,Microsoft,2005,5,Tsinghua-Shenxun-Cert Asts,Certain assets,-,15000000.0,-,-,2005-05-01
754,Microsoft,2005,6,Sybari Software,Software,-,,-,-,2005-06-01
755,Microsoft,2005,8,Teleo,VoIP,-,,-,-,2005-08-01
756,Microsoft,2005,8,FrontBridge Technologies,Email protection,-,,-,-,2005-08-01
757,Microsoft,2005,9,Alacris,Certificate management software,-,,-,-,2005-09-01
758,Microsoft,2005,11,media-streams.com,Software,-,,-,-,2005-11-01
759,Microsoft,2005,11,5th Finger,Mobile,-,3153000.0,-,-,2005-11-01
760,Microsoft,2006,1,UMT-Software and IP Assets,Software,-,,-,-,2006-01-01
761,Microsoft,2006,2,MotionBridge,Search,-,17858000.0,-,-,2006-02-01
762,Microsoft,2006,2,Seadragon Software,Software,-,,-,-,2006-02-01
763,Microsoft,2006,3,Apptimum,Software,-,,-,-,2006-03-01
764,Microsoft,2006,3,Onfolio,Internet software,-,,-,-,2006-03-01
765,Microsoft,2006,4,Lionhead Studios,Video games,-,,-,-,2006-04-01
766,Microsoft,2006,4,AssetMetrix,Enterprise asset intelligence (SaaS),-,18000000.0,-,-,2006-04-01
767,Microsoft,2006,5,Massive Incorporated,Video game advertising,-,,-,-,2006-05-01
768,Microsoft,2006,5,Vexcel,Mapping software,-,,-,-,2006-05-01
769,Microsoft,2006,5,DeepMetrix,Web log analysis,-,,-,-,2006-05-01
770,Microsoft,2006,6,ProClarity,Analysis software,-,,-,-,2006-06-01
771,Microsoft,2006,6,iView Multimedia,Digital asset management,-,,-,-,2006-06-01
772,Microsoft,2006,7,Softricity,Application virtualization software,-,,-,-,2006-07-01
773,Microsoft,2006,7,Winternals Software,Software,-,,-,-,2006-07-01
774,Microsoft,2006,7,Whale Communications,Applications,-,,-,-,2006-07-01
775,Microsoft,2006,9,Gteko,Applications,-,,-,-,2006-09-01
776,Microsoft,2006,10,DesktopStandard,Applications,-,,-,-,2006-10-01
777,Microsoft,2006,10,Colloquis,Natural language software,-,,-,-,2006-10-01
778,Microsoft,2007,3,Medstory,Internet search engine,-,,-,-,2007-03-01
779,Microsoft,2007,3,devBiz Business Solutions,Software tools,-,,-,-,2007-03-01
780,Microsoft,2007,5,ScreenTonic,Advertising and marketing,-,,-,-,2007-05-01
781,Microsoft,2007,5,Tellme Networks,Mobile phone software,-,,-,-,2007-05-01
782,Microsoft,2007,5,SoftArtisans,Business Intelligence software,-,,-,-,2007-05-01
783,Microsoft,2007,6,Engyro,Information technology,-,,-,-,2007-06-01
784,Microsoft,2007,6,Stratature,Master data management,-,,-,-,2007-06-01
785,Microsoft,2007,6,Savvis Inc-Data Centers,Networking,-,200000000.0,-,-,2007-06-01
786,Microsoft,2007,8,AdECN,Ad Exchange,-,45000000.0,-,-,2007-08-01
787,Microsoft,2007,8,aQuantive,Digital marketing,-,6333000000.0,-,-,2007-08-01
788,Microsoft,2007,10,Jellyfish.com,Search engine,-,,-,-,2007-10-01
789,Microsoft,2007,10,Parlano,Enterprise messaging software,-,,-,-,2007-10-01
790,Microsoft,2007,10,Global Care Solutions-Assets,Assets,-,,-,-,2007-10-01
791,Microsoft,2007,11,HOB Business Solutions,Information technology,-,,-,-,2007-11-01
792,Microsoft,2007,11,Musiwave,Mobile music entertainment,-,,-,-,2007-11-01
793,Microsoft,2007,12,Multimap.com,Mapping,-,,-,-,2007-12-01
794,Microsoft,2008,1,Calista Technologies,Software,-,,-,-,2008-01-01
795,Microsoft,2008,2,Caligari Corporation,Software,-,,-,-,2008-02-01
796,Microsoft,2008,2,YaData,Software,-,,-,-,2008-02-01
797,Microsoft,2008,3,Rapt,Advertising yield management software,-,,-,-,2008-03-01
798,Microsoft,2008,3,Komoku,Rootkit security software,-,5000000.0,-,-,2008-03-01
799,Microsoft,2008,3,90 Degree Software,Business intelligence software,-,,-,-,2008-03-01
800,Microsoft,2008,4,Farecast,Online search software,-,75000000.0,-,-,2008-04-01
801,Microsoft,2008,4,Danger,Mobile Internet software,-,500000000.0,-,-,2008-04-01
802,Microsoft,2008,4,Fast Search & Transfer,Enterprise search[clarification needed],-,1191000000.0,-,-,2008-04-01
803,Microsoft,2008,5,Kidaro,Software,-,,-,-,2008-05-01
804,Microsoft,2008,6,Quadreon,Software,-,,-,-,2008-06-01
805,Microsoft,2008,6,Navic Networks,Management software,-,,-,-,2008-06-01
806,Microsoft,2008,6,Mobicomp,Mobile applications,-,,-,-,2008-06-01
807,Microsoft,2008,8,Powerset,Semantic Search,-,,-,-,2008-08-01
808,Microsoft,2008,9,DATAllegro,Data software,-,,-,-,2008-09-01
809,Microsoft,2008,9,Greenfield Online,Search and e-commerce services,-,486000000.0,-,-,2008-09-01
810,Microsoft,2009,3,3DV Systems,"Developer of ZCam, a time-of-flight camera",-,35000000.0,-,-,2009-03-01
811,Microsoft,2009,5,BigPark,Video games interactive online gaming,-,,-,-,2009-05-01
812,Microsoft,2009,6,Rosetta Biosoftware,Bioinformatics solutions for life science research,-,,-,-,2009-06-01
813,Microsoft,2009,9,Interactive Supercomputing,Software,-,,-,-,2009-09-01
814,Microsoft,2009,12,Opalis Software,Software,-,,-,-,2009-12-01
815,Microsoft,2010,2,"Sentillion, Inc.",Software for the healthcare industry,-,,-,-,2010-02-01
816,Microsoft,2010,10,"AVIcode, Inc.",.Net monitoring technology,-,,-,-,2010-10-01
817,Microsoft,2010,10,"Canesta, Inc.",3D sensing technology,-,,-,-,2010-10-01
818,Microsoft,2011,5,Skype Technologies,Telecommunications,-,8500000000.0,-,-,2011-05-01
819,Microsoft,2011,6,Prodiance,Software,-,,-,-,2011-06-01
820,Microsoft,2011,10,Twisted Pixel Games,Video games,-,,-,-,2011-10-01
821,Microsoft,2011,11,Videosurf,Video search,-,100000000.0,-,-,2011-11-01
822,Microsoft,2012,6,Press Play,Video games,-,,-,-,2012-06-01
823,Microsoft,2012,6,Yammer,Social networking,-,1200000000.0,-,-,2012-06-01
824,Microsoft,2012,7,Perceptive Pixel,Multi touch hardware,-,,-,-,2012-07-01
825,Microsoft,2012,10,PhoneFactor,Two-factor authentication system,-,,-,-,2012-10-01
826,Microsoft,2012,10,StorSimple,Cloud-storage appliance vendor,-,,-,-,2012-10-01
827,Microsoft,2012,10,MarketingPilot,Marketing automation firm,-,,-,-,2012-10-01
828,Microsoft,2013,1,id8 Group R2 Studios,Home automation,-,,-,-,2013-01-01
829,Microsoft,2013,2,Pando Networks,Peer-to-peer (P2P) media distribution,-,,-,-,2013-02-01
830,Microsoft,2013,3,MetricsHub,Cloud monitoring,-,,-,-,2013-03-01
831,Microsoft,2013,3,Netbreeze,Social analytics,-,,-,-,2013-03-01
832,Microsoft,2013,6,InRelease,Release management,-,,-,-,2013-06-01
833,Microsoft,2013,9,Nokia mobile phones unit,"Mobile phones, smartphones",-,7200000000.0,-,-,2013-09-01
